ensembl_id,detect_frac,mean_expr,log_subtype_f,log_donor_f,libsize_corr,breadth_over_depth,subtype_over_donor,is_ambient,loao_score
ENSG00000107796,0.02821011673151751,0.04949794,2.3254884776716707,1.5953407058202982,0.014898043655595907,0.5699250702783165,1.4576751343381178,1,0.6201419434756975
ENSG00000204305,0.010194552529182879,0.0183611,2.335337190461013,1.88496677389437,0.013669985440607667,0.5552255591708235,1.2389275093884924,1,0.6950286441025779
ENSG00000127152,0.17112840466926071,0.3148069,2.1651583663153473,2.507889379845243,0.04716404922059005,0.5435979964856364,0.8633388632352497,0,0.5834695648377894
ENSG00000126353,0.12050583657587549,0.23499006,6.861955522067512,2.855286355383485,0.18794921161008976,0.512812484097991,2.4032460033753438,0,0.005059613373095476
ENSG00000116824,0.6966536964980544,1.6497816,2.459050883168162,3.167998189890727,0.04091724543083445,0.42227025864637574,0.7762160000643755,0,0.017485130198507993
ENSG00000198821,0.26715953307393,0.493874,5.45625013837695,2.4259013779349887,0.12804012717300486,0.5409467309724839,2.249164037748929,0,0.01750885201753793
ENSG00000139193,0.17684824902723736,0.34082305,5.462223102194457,2.638825880733655,0.06897397484921251,0.5188858171093198,2.069944493903414,0,0.08299426301637713
ENSG00000178562,0.07929961089494164,0.13463233,5.164524508237629,2.395620225320174,0.10832618607185325,0.5890086613837682,2.155819379738035,0,0.13090101597651707
ENSG00000167286,0.7860311284046693,1.9683998,5.804827477307038,3.1801389269856206,0.09282922672365355,0.3993249456420615,1.8253377008309817,0,0.0002535780242671058
ENSG00000198851,0.612568093385214,1.3164332,4.039156642695267,3.4119390995834737,0.18300267170232917,0.4653241026083169,1.1838302281504272,0,0.0020477333692192194
ENSG00000160654,0.42447470817120625,0.84742874,5.391631501987263,2.6078545987646713,0.12885974271833353,0.5008972301748861,2.067458632295395,0,0.0057222432379468125
ENSG00000110448,0.11914396887159533,0.20836519,3.8806127807724167,2.5555228295553656,0.1119464147374673,0.5718036230477754,1.5185200992501418,0,0.19888599199210152
ENSG00000013725,0.22544747081712063,0.41407615,4.7502776480758335,2.8717931956686416,0.11985173023094782,0.5444589627032111,1.6541155035955935,0,0.06989943050401326
ENSG00000129226,0.04536964980544747,0.08084037,2.1902962051574737,2.727328367125523,0.021258946136293148,0.5612251519387781,0.8030922244489188,1,0.8519438211206175
ENSG00000110848,0.7075486381322957,1.9108269,3.9398864195883565,4.65444491764501,0.05509516976115299,0.3702840012273668,0.8464782566557485,0,0.007019522803276212
ENSG00000173762,0.3985992217898833,0.86852896,6.885073131808676,3.4811203882537476,0.10825499182130474,0.45893601614609414,1.9778325262868806,0,0.006325321821173541
ENSG00000153563,0.24583657587548638,0.55629283,9.026655799475154,3.415294312072945,0.045871342371388533,0.44191936652651137,2.6430096427023124,0,0.010788551812174474
ENSG00000172116,0.193579766536965,0.41398397,8.5792022401975,3.034021221405362,0.03576936731753782,0.46760208161015854,2.8276671829683524,0,0.020502767911038867
ENSG00000108821,0.008988326848249028,0.014743331,0.2360461357462164,2.1416209698881814,0.040870207981032636,0.60965374217372,0.11021844624473437,1,0.9343429518058194
ENSG00000164692,0.005836575875486381,0.009342524,1.4292124521089096,2.1753976266416424,0.03533133141849041,0.6247322175626839,0.6569890647142581,1,0.9051996685954629
ENSG00000163599,0.06501945525291829,0.12282425,4.274823047840436,3.251392602922481,0.026281769348725784,0.5293698465777261,1.3147667999238404,0,0.6893266263675177
ENSG00000172543,0.307704280155642,0.6667028,8.67311707965066,3.904251606467001,0.027651347445519985,0.46153140042036156,2.221454443480157,0,0.03624276092207069
ENSG00000011465,0.013891050583657588,0.023880115,1.4366801068166741,3.2953175392832437,0.025874364010941352,0.5816994898175796,0.43597622677939646,1,0.9585806518858178
ENSG00000119888,0.007665369649805447,0.014277536,0.6610765455610657,1.9939755157028352,-0.015820849938040425,0.5368832145289697,0.3315369423320375,1,0.9206733589661713
ENSG00000085265,0.007276264591439689,0.012769606,0.9986809685643105,1.4972142880155552,0.006466142084257467,0.5698112073083776,0.6670260740618412,1,0.8294066957695988
ENSG00000049768,0.005680933852140078,0.010861619,3.696574346031812,1.2676623884039226,-0.013524685563853573,0.5230282571747863,2.916055867750453,0,0.38920036617799514
ENSG00000145649,0.5242023346303502,1.3697295,8.716169329211947,2.881748405415798,-0.053296557936411484,0.3827049993454233,3.02461148684294,0,0.0028285110551395974
ENSG00000113088,0.25431906614785993,0.68462497,8.380228893149644,2.7727743966131513,-0.040724528477322504,0.3714720866272144,3.0223262676494005,0,0.011250834283625336
ENSG00000206172,0.018210116731517508,0.030699411,4.196198797258167,5.337088974464583,0.1121914731599271,0.5931747840383094,0.7862336223613603,1,0.8910034267307645
ENSG00000188536,0.02680933852140078,0.04615712,3.8962747142214456,5.149163983222929,0.11674411566410932,0.5808277803770997,0.7566810315065392,1,0.8506396066350196
ENSG00000244734,0.05073929961089494,0.09897544,3.7539432314718306,6.016770056755051,0.1422838613490518,0.5126453431904333,0.6239133614982119,1,0.7161695328516594
ENSG00000163600,0.14431906614785991,0.2679555,5.423662554902209,3.189609478831997,0.12804980239390956,0.5385933850506381,1.7004158631006763,0,0.07921682349345127
ENSG00000030419,0.013501945525291829,0.02487367,4.645691517199162,1.5221543793924859,5.954919367795097e-05,0.5428207989349775,3.0520501600194625,0,0.2999448331839943
ENSG00000168685,0.5205058365758755,1.3099266,7.74546746763282,4.488566055111868,0.21421227591620925,0.39735495487012074,1.725599528341971,0,0.00020287541405165568
ENSG00000113263,0.1814396887159533,0.3320269,4.530522752090755,3.3788390064706775,0.09083418996950912,0.5464608118752116,1.3408519149372122,0,0.27546507340077453
ENSG00000111057,0.022996108949416342,0.042239163,1.9248494463269008,3.0024984656289173,-0.005873506376126177,0.5444262451603786,0.6410825745163913,1,0.9350026292368376
