timestamp, name, driver_version, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/25 03:33:18.133, NVIDIA GB10, 595.84, 95 %, [N/A], 70.33 W
2026/09/25 03:34:18.133, NVIDIA GB10, 595.84, 3 %, [N/A], 14.82 W
2026/09/25 03:35:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 76.12 W
2026/09/25 03:36:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 76.54 W
2026/09/25 03:37:18.133, NVIDIA GB10, 595.84, 1 %, [N/A], 15.48 W
2026/09/25 03:38:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 90.09 W
2026/09/25 03:39:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 89.77 W
2026/09/25 03:40:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 91.13 W
2026/09/25 03:41:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 88.45 W
2026/09/25 03:42:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 89.54 W
2026/09/25 03:43:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 58.19 W
2026/09/25 03:44:18.131, NVIDIA GB10, 595.84, 94 %, [N/A], 53.62 W
2026/09/25 03:45:18.131, NVIDIA GB10, 595.84, 95 %, [N/A], 56.72 W
2026/09/25 03:46:18.131, NVIDIA GB10, 595.84, 95 %, [N/A], 55.82 W
2026/09/25 03:47:18.130, NVIDIA GB10, 595.84, 96 %, [N/A], 59.50 W
2026/09/25 03:48:18.130, NVIDIA GB10, 595.84, 96 %, [N/A], 58.29 W
2026/09/25 03:49:18.130, NVIDIA GB10, 595.84, 95 %, [N/A], 55.96 W
2026/09/25 03:50:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 59.56 W
2026/09/25 03:51:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 58.53 W
2026/09/25 03:52:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 59.80 W
2026/09/25 03:53:18.133, NVIDIA GB10, 595.84, 95 %, [N/A], 55.63 W
2026/09/25 03:54:18.133, NVIDIA GB10, 595.84, 94 %, [N/A], 59.67 W
2026/09/25 03:55:18.133, NVIDIA GB10, 595.84, 95 %, [N/A], 55.89 W
2026/09/25 03:56:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 57.53 W
2026/09/25 03:57:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 56.97 W
2026/09/25 03:58:18.134, NVIDIA GB10, 595.84, 96 %, [N/A], 56.84 W
2026/09/25 03:59:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 59.70 W
2026/09/25 04:00:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 57.95 W
2026/09/25 04:01:18.134, NVIDIA GB10, 595.84, 96 %, [N/A], 59.17 W
2026/09/25 04:02:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 58.47 W
2026/09/25 04:03:18.114, NVIDIA GB10, 595.84, 96 %, [N/A], 55.24 W
2026/09/25 04:04:18.098, NVIDIA GB10, 595.84, 95 %, [N/A], 55.77 W
2026/09/25 04:05:18.083, NVIDIA GB10, 595.84, 96 %, [N/A], 55.57 W
2026/09/25 04:06:18.070, NVIDIA GB10, 595.84, 96 %, [N/A], 59.42 W
2026/09/25 04:07:18.058, NVIDIA GB10, 595.84, 96 %, [N/A], 55.05 W
2026/09/25 04:08:18.047, NVIDIA GB10, 595.84, 96 %, [N/A], 56.69 W
2026/09/25 04:09:18.038, NVIDIA GB10, 595.84, 95 %, [N/A], 56.18 W
2026/09/25 04:10:18.029, NVIDIA GB10, 595.84, 95 %, [N/A], 57.85 W
2026/09/25 04:11:18.020, NVIDIA GB10, 595.84, 95 %, [N/A], 56.67 W
2026/09/25 04:12:18.013, NVIDIA GB10, 595.84, 95 %, [N/A], 68.19 W
2026/09/25 04:13:18.005, NVIDIA GB10, 595.84, 1 %, [N/A], 13.78 W
2026/09/25 04:14:17.998, NVIDIA GB10, 595.84, 96 %, [N/A], 71.75 W
2026/09/25 04:15:17.992, NVIDIA GB10, 595.84, 1 %, [N/A], 14.93 W
2026/09/25 04:16:17.985, NVIDIA GB10, 595.84, 96 %, [N/A], 89.64 W
2026/09/25 04:17:17.980, NVIDIA GB10, 595.84, 96 %, [N/A], 89.62 W
2026/09/25 04:18:17.975, NVIDIA GB10, 595.84, 96 %, [N/A], 89.61 W
2026/09/25 04:19:17.970, NVIDIA GB10, 595.84, 96 %, [N/A], 90.18 W
2026/09/25 04:20:17.964, NVIDIA GB10, 595.84, 96 %, [N/A], 90.37 W
2026/09/25 04:21:17.959, NVIDIA GB10, 595.84, 0 %, [N/A], 13.40 W
2026/09/25 04:22:17.954, NVIDIA GB10, 595.84, 94 %, [N/A], 57.13 W
2026/09/25 04:23:17.950, NVIDIA GB10, 595.84, 96 %, [N/A], 61.67 W
2026/09/25 04:24:17.947, NVIDIA GB10, 595.84, 95 %, [N/A], 57.72 W
2026/09/25 04:25:17.942, NVIDIA GB10, 595.84, 95 %, [N/A], 56.50 W
2026/09/25 04:26:17.939, NVIDIA GB10, 595.84, 96 %, [N/A], 58.55 W
2026/09/25 04:27:17.935, NVIDIA GB10, 595.84, 96 %, [N/A], 60.73 W
2026/09/25 04:28:17.931, NVIDIA GB10, 595.84, 96 %, [N/A], 61.28 W
2026/09/25 04:29:17.928, NVIDIA GB10, 595.84, 96 %, [N/A], 59.15 W
2026/09/25 04:30:17.925, NVIDIA GB10, 595.84, 96 %, [N/A], 59.79 W
2026/09/25 04:31:17.922, NVIDIA GB10, 595.84, 96 %, [N/A], 59.47 W
2026/09/25 04:32:17.918, NVIDIA GB10, 595.84, 96 %, [N/A], 60.97 W
2026/09/25 04:33:17.916, NVIDIA GB10, 595.84, 95 %, [N/A], 59.00 W
2026/09/25 04:34:17.912, NVIDIA GB10, 595.84, 96 %, [N/A], 60.74 W
2026/09/25 04:35:17.909, NVIDIA GB10, 595.84, 96 %, [N/A], 59.62 W
2026/09/25 04:36:17.906, NVIDIA GB10, 595.84, 96 %, [N/A], 60.35 W
2026/09/25 04:37:18.265, NVIDIA GB10, 595.84, 96 %, [N/A], 59.01 W
2026/09/25 04:38:18.234, NVIDIA GB10, 595.84, 96 %, [N/A], 60.95 W
2026/09/25 04:39:18.141, NVIDIA GB10, 595.84, 95 %, [N/A], 58.10 W
2026/09/25 04:40:18.230, NVIDIA GB10, 595.84, 96 %, [N/A], 57.84 W
2026/09/25 04:41:18.331, NVIDIA GB10, 595.84, 95 %, [N/A], 57.29 W
2026/09/25 04:42:18.221, NVIDIA GB10, 595.84, 96 %, [N/A], 60.95 W
2026/09/25 04:43:18.342, NVIDIA GB10, 595.84, 96 %, [N/A], 58.83 W
2026/09/25 04:44:18.288, NVIDIA GB10, 595.84, 96 %, [N/A], 60.12 W
2026/09/25 04:45:18.315, NVIDIA GB10, 595.84, 96 %, [N/A], 61.88 W
2026/09/25 04:46:18.137, NVIDIA GB10, 595.84, 96 %, [N/A], 58.35 W
2026/09/25 04:47:18.220, NVIDIA GB10, 595.84, 96 %, [N/A], 59.84 W
2026/09/25 04:48:18.216, NVIDIA GB10, 595.84, 96 %, [N/A], 57.44 W
2026/09/25 04:49:18.244, NVIDIA GB10, 595.84, 95 %, [N/A], 56.11 W
2026/09/25 04:50:18.192, NVIDIA GB10, 595.84, 96 %, [N/A], 58.65 W
2026/09/25 04:51:18.164, NVIDIA GB10, 595.84, 2 %, [N/A], 14.67 W
2026/09/25 04:52:18.267, NVIDIA GB10, 595.84, 95 %, [N/A], 71.88 W
2026/09/25 04:53:18.321, NVIDIA GB10, 595.84, 96 %, [N/A], 75.08 W
2026/09/25 04:54:18.321, NVIDIA GB10, 595.84, 96 %, [N/A], 76.13 W
2026/09/25 04:55:18.312, NVIDIA GB10, 595.84, 78 %, [N/A], 76.24 W
2026/09/25 04:56:18.314, NVIDIA GB10, 595.84, 96 %, [N/A], 91.58 W
2026/09/25 04:57:18.321, NVIDIA GB10, 595.84, 96 %, [N/A], 89.84 W
2026/09/25 04:58:18.325, NVIDIA GB10, 595.84, 96 %, [N/A], 88.72 W
2026/09/25 04:59:18.318, NVIDIA GB10, 595.84, 96 %, [N/A], 89.53 W
2026/09/25 05:00:18.316, NVIDIA GB10, 595.84, 77 %, [N/A], 87.98 W
2026/09/25 05:01:18.318, NVIDIA GB10, 595.84, 0 %, [N/A], 7.27 W
2026/09/25 05:02:18.322, NVIDIA GB10, 595.84, 96 %, [N/A], 58.58 W
2026/09/25 05:03:18.327, NVIDIA GB10, 595.84, 96 %, [N/A], 60.93 W
2026/09/25 05:04:18.334, NVIDIA GB10, 595.84, 95 %, [N/A], 62.68 W
2026/09/25 05:05:18.339, NVIDIA GB10, 595.84, 95 %, [N/A], 56.89 W
2026/09/25 05:06:18.346, NVIDIA GB10, 595.84, 96 %, [N/A], 60.83 W
2026/09/25 05:07:18.352, NVIDIA GB10, 595.84, 96 %, [N/A], 60.66 W
2026/09/25 05:08:18.358, NVIDIA GB10, 595.84, 96 %, [N/A], 60.09 W
2026/09/25 05:09:18.364, NVIDIA GB10, 595.84, 96 %, [N/A], 57.88 W
2026/09/25 05:10:18.370, NVIDIA GB10, 595.84, 95 %, [N/A], 56.27 W
2026/09/25 05:11:18.376, NVIDIA GB10, 595.84, 96 %, [N/A], 56.85 W
2026/09/25 05:12:18.383, NVIDIA GB10, 595.84, 96 %, [N/A], 58.59 W
2026/09/25 05:13:18.389, NVIDIA GB10, 595.84, 96 %, [N/A], 59.15 W
2026/09/25 05:14:18.395, NVIDIA GB10, 595.84, 96 %, [N/A], 61.62 W
2026/09/25 05:15:18.402, NVIDIA GB10, 595.84, 96 %, [N/A], 59.47 W
2026/09/25 05:16:18.410, NVIDIA GB10, 595.84, 96 %, [N/A], 60.44 W
2026/09/25 05:17:18.416, NVIDIA GB10, 595.84, 96 %, [N/A], 57.42 W
2026/09/25 05:18:18.422, NVIDIA GB10, 595.84, 95 %, [N/A], 56.65 W
2026/09/25 05:19:18.429, NVIDIA GB10, 595.84, 96 %, [N/A], 60.69 W
2026/09/25 05:20:18.436, NVIDIA GB10, 595.84, 96 %, [N/A], 61.83 W
2026/09/25 05:21:18.444, NVIDIA GB10, 595.84, 95 %, [N/A], 58.15 W
2026/09/25 05:22:18.451, NVIDIA GB10, 595.84, 96 %, [N/A], 61.07 W
2026/09/25 05:23:18.457, NVIDIA GB10, 595.84, 96 %, [N/A], 56.51 W
2026/09/25 05:24:18.204, NVIDIA GB10, 595.84, 96 %, [N/A], 62.28 W
2026/09/25 05:25:18.328, NVIDIA GB10, 595.84, 96 %, [N/A], 56.24 W
2026/09/25 05:26:18.378, NVIDIA GB10, 595.84, 96 %, [N/A], 61.50 W
2026/09/25 05:27:18.321, NVIDIA GB10, 595.84, 95 %, [N/A], 55.62 W
2026/09/25 05:28:18.281, NVIDIA GB10, 595.84, 96 %, [N/A], 60.44 W
2026/09/25 05:29:18.265, NVIDIA GB10, 595.84, 96 %, [N/A], 61.64 W
2026/09/25 05:30:18.355, NVIDIA GB10, 595.84, 95 %, [N/A], 70.55 W
2026/09/25 05:31:18.400, NVIDIA GB10, 595.84, 95 %, [N/A], 72.57 W
2026/09/25 05:32:18.331, NVIDIA GB10, 595.84, 96 %, [N/A], 75.99 W
2026/09/25 05:33:18.283, NVIDIA GB10, 595.84, 96 %, [N/A], 77.63 W
2026/09/25 05:34:18.254, NVIDIA GB10, 595.84, 96 %, [N/A], 76.82 W
2026/09/25 05:35:18.221, NVIDIA GB10, 595.84, 96 %, [N/A], 91.72 W
2026/09/25 05:36:18.198, NVIDIA GB10, 595.84, 96 %, [N/A], 90.21 W
2026/09/25 05:37:18.180, NVIDIA GB10, 595.84, 96 %, [N/A], 90.70 W
2026/09/25 05:38:18.203, NVIDIA GB10, 595.84, 96 %, [N/A], 90.97 W
2026/09/25 05:39:18.362, NVIDIA GB10, 595.84, 96 %, [N/A], 90.98 W
